unix_second,mean_cpu_power_mW,n_samples
1788273101,62.5,4
1788273102,50.8,5
1788273103,42.4,5
1788273104,46.0,5
1788273105,52.2,5
1788273106,39.5,4
1788273107,49.2,5
1788273108,51.0,5
1788273109,49.0,5
1788273110,69.0,5
1788273111,55.2,4
1788273112,39.4,5
1788273113,42.0,5
1788273114,39.2,5
1788273115,40.8,4
1788273116,53.0,5
1788273117,43.0,5
1788273118,50.4,5
1788273119,42.8,5
1788273120,51.0,4
1788273121,49.6,5
1788273122,42.4,5
1788273123,40.0,5
1788273124,50.6,5
1788273125,51.8,4
1788273126,56.8,5
1788273127,43.2,5
1788273128,41.0,5
1788273129,80.5,4
1788273130,52.6,5
1788273131,58.8,5
1788273132,43.8,5
1788273133,55.0,5
1788273134,46.5,4
1788273135,46.6,5
1788273136,43.0,5
1788273137,46.6,5
1788273138,52.5,4
1788273139,38.4,5
1788273140,49.8,5
1788273141,49.0,5
1788273142,39.2,5
1788273143,46.2,4
1788273144,42.0,5
1788273145,45.6,5
1788273146,159.0,5
1788273147,42.2,5
1788273148,52.5,4
1788273149,45.8,5
1788273150,43.0,5
1788273151,51.6,5
1788273152,50.0,4
1788273153,46.8,5
1788273154,47.8,5
1788273155,39.4,5
1788273156,51.6,5
1788273157,51.2,4
1788273158,42.6,5
1788273159,48.6,5
1788273160,47.8,5
1788273161,50.2,4
1788273162,40.0,5
1788273163,44.0,5
1788273164,51.6,5
1788273165,41.0,5
1788273166,48.0,4
1788273167,43.0,5
1788273168,44.0,5
1788273169,40.2,5
1788273170,43.0,4
1788273171,48.6,5
1788273172,48.0,5
1788273173,41.0,5
1788273174,48.8,5
1788273175,40.2,4
1788273176,41.8,5
1788273177,45.2,5
1788273178,49.0,5
1788273179,44.2,4
1788273180,63.6,5
1788273181,48.8,5
1788273182,38.6,5
1788273183,45.2,5
1788273184,40.2,4
1788273185,41.2,5
1788273186,54.4,5
1788273187,39.0,5
1788273188,171.2,4
1788273189,1733.4,5
1788273190,181.2,5
1788273191,120.0,5
1788273192,51.8,5
1788273193,39.8,4
1788273194,39.2,5
1788273195,43.0,5
1788273196,48.6,5
